%time,field.dynamixel_state0.name,field.dynamixel_state0.id,field.dynamixel_state0.present_position,field.dynamixel_state0.present_velocity,field.dynamixel_state0.present_current
1599990688455702422,one,1,-4061,35,0
1599990688520172791,one,1,-4023,36,0
1599990688552289912,one,1,-4003,37,0
1599990688616090130,one,1,-3962,39,0
1599990688648079998,one,1,-3941,39,0
1599990688712058235,one,1,-3900,40,0
1599990688744145675,one,1,-3878,40,0
1599990688807943191,one,1,-3834,41,0
1599990688872095102,one,1,-3791,41,0
1599990688904053497,one,1,-3769,41,0
1599990688968056925,one,1,-3727,41,0
1599990689000115241,one,1,-3705,41,0
1599990689064104895,one,1,-3661,41,0
1599990689096027430,one,1,-3640,41,0
1599990689160037747,one,1,-3596,42,0
1599990689224122396,one,1,-3553,42,0
1599990689256007703,one,1,-3532,42,0
1599990689320090043,one,1,-3488,42,0
1599990689352137951,one,1,-3467,42,0
1599990689416053329,one,1,-3424,42,0
1599990689447942390,one,1,-3403,42,0
1599990689512052665,one,1,-3359,42,0
1599990689543996781,one,1,-3338,42,0
1599990689607977206,one,1,-3295,42,0
1599990689671992054,one,1,-3251,42,0
1599990689704022077,one,1,-3229,42,0
1599990689767952168,one,1,-3186,42,0
1599990689799965223,one,1,-3165,42,0
1599990689864005796,one,1,-3123,42,0
1599990689895914628,one,1,-3101,42,0
1599990689960053433,one,1,-3057,42,0
1599990690023969052,one,1,-3014,42,0
1599990690056065965,one,1,-2993,42,0
1599990690119976051,one,1,-2950,42,0
1599990690152128291,one,1,-2929,42,0
1599990690215990096,one,1,-2888,41,0
1599990690247949249,one,1,-2866,41,0
1599990690311979305,one,1,-2824,41,0
1599990690343870354,one,1,-2803,41,0
1599990690407846554,one,1,-2759,41,0
1599990690474023408,one,1,-2716,41,0
1599990690503971505,one,1,-2694,41,0
1599990690568070341,one,1,-2650,42,0
1599990690599869963,one,1,-2629,42,0
1599990690663956573,one,1,-2586,42,0
1599990690695904376,one,1,-2564,42,0
1599990690759913824,one,1,-2523,42,0
1599990690823851733,one,1,-2480,42,0
1599990690855800091,one,1,-2457,42,0
1599990690919894492,one,1,-2414,42,0
1599990690951915100,one,1,-2393,42,0
1599990691015868997,one,1,-2350,42,0
1599990691047939414,one,1,-2329,42,0
1599990691111921876,one,1,-2287,42,0
1599990691143832985,one,1,-2266,42,0
1599990691207863162,one,1,-2222,41,0
1599990691271513741,one,1,-2178,41,0
1599990691303391241,one,1,-2157,41,0
1599990691368021422,one,1,-2114,42,0
1599990691399983907,one,1,-2092,42,0
1599990691463528005,one,1,-2050,42,0
1599990691495521875,one,1,-2029,42,-12
1599990691559866685,one,1,-2002,31,-6
